YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2012,10,Foreign-born,1442800,566200.0,39.24313834211256
2012,10,US-born,9370200,3201500.0,34.16682674862863
2012,11,Foreign-born,2372400,674600.0,28.435339740347327
2012,11,US-born,11354400,2596600.0,22.868667653068414
2012,12,Foreign-born,47445200,22012800.0,46.396263478708065
2012,12,US-born,138394900,49570100.0,35.817866120789134
2012,13,Foreign-born,13726700,4958200.0,36.120844776967516
2012,13,US-born,94431500,34728000.0,36.775863986063975
2012,15,Foreign-born,2795200,1471800.0,52.654550658271326
2012,15,US-born,13594100,5217700.0,38.38209223118853
2012,16,Foreign-born,605100,290300.0,47.97554123285408
2012,16,US-born,13915300,4672500.0,33.57814779415463
2012,17,Foreign-born,25398900,8887100.0,34.990097996369926
2012,17,US-born,141620900,51442500.0,36.324087758233425
2012,18,Foreign-born,4174700,1214000.0,29.079933887464964
2012,18,US-born,58617500,22004500.0,37.53913080564678
2012,19,Foreign-born,2091900,633100.0,30.264352980544
2012,19,US-born,32744200,11961900.0,36.53135517129751
2012,20,Foreign-born,2467900,798300.0,32.34733984359172
2012,20,US-born,32764700,12237800.0,37.35056325862895
2012,21,Foreign-born,1809900,601100.0,33.211779656334606
2012,21,US-born,37682900,13896500.0,36.87746962149941
2012,22,Foreign-born,2410400,686800.0,28.49319615001659
2012,22,US-born,38136100,12738600.0,33.40299611129612
2012,23,Foreign-born,686700,220800.0,32.15377894276977
2012,23,US-born,14862900,5634400.0,37.9091563557583
2012,24,Foreign-born,16724800,5312100.0,31.761814790012437
2012,24,US-born,69441000,20593600.0,29.656254950245533
2012,25,Foreign-born,16519300,4958600.0,30.01701040600994
2012,25,US-born,91023800,30873000.0,33.91750289484728
2012,26,Foreign-born,11117700,3033900.0,27.288917671820613
2012,26,US-born,91372700,32760700.0,35.85392573492958
2012,27,Foreign-born,6983800,2252700.0,32.256078352759246
2012,27,US-born,69238600,25046500.0,36.17418607539725
2012,28,Foreign-born,623900,194900.0,31.238980605866324
2012,28,US-born,23288000,8392600.0,36.03830298866369
2012,29,Foreign-born,3679500,890700.0,24.20709335507542
2012,29,US-born,62072500,22723800.0,36.608482016996255
2012,30,Foreign-born,260200,124500.0,47.847809377402
2012,30,US-born,10714700,3900800.0,36.40605896571999
2012,31,Foreign-born,1152500,393100.0,34.108459869848154
2012,31,US-born,23424800,7925100.0,33.83209248318022
2012,32,Foreign-born,4916000,2644200.0,53.78763222131815
2012,32,US-born,18683300,7578300.0,40.56189217108327
2012,33,Foreign-born,1425600,287400.0,20.15993265993266
2012,33,US-born,18327300,6140800.0,33.506299345784704
2012,34,Foreign-born,34917600,12381400.0,35.458908974270855
2012,34,US-born,95288100,31682300.0,33.248957634793854
2012,35,Foreign-born,1622300,499200.0,30.77112741169944
2012,35,US-born,17717700,5613100.0,31.680748629901174
2012,36,Foreign-born,68856800,26868800.0,39.02127313496997
2012,36,US-born,200229200,67516300.0,33.71950744446864
2012,37,Foreign-born,9066100,3029800.0,33.41900045223415
2012,37,US-born,96283800,35406200.0,36.77274889441422
2012,38,Foreign-born,475300,303300.0,63.81232905533347
2012,38,US-born,7983800,2573800.0,32.237781507552796
2012,39,Foreign-born,7753700,2393400.0,30.8678437391181
2012,39,US-born,112355200,39381700.0,35.05107017743727
2012,40,Foreign-born,1938600,574400.0,29.629629629629626
2012,40,US-born,32812000,11944600.0,36.40314519078386
